File Name,Logging Time (seconds),Num Disconnections,Avg Num Peers,Min Num Peers,Max Num Peers,Avg Connection Time (seconds),Min Connection Time (seconds),Max Connection Time (seconds),Raw Connection Time Dictionary,
Sample 113 numConnections 3.csv,3000,1,3.0,3,3,2250.0,1357,3000,"{'46.128.140.193:8333': 3000, '34.220.31.227:8333': 1643, '51.161.118.180:8333': 3000, '54.38.82.57:8333': 1357}",
Sample 114 numConnections 4.csv,3000,2,4.0,4,4,2000.0,33,3000,"{'77.232.166.225:8333': 3000, '37.221.198.57:8333': 70, '103.75.2.197:8333': 3000, '78.47.3.190:8333': 3000, '174.86.34.232:8333': 33, '37.187.117.135:8333': 2897}",
Sample 115 numConnections 5.csv,3000,0,5.0,5,5,3000.0,3000,3000,"{'191.209.21.188:8333': 3000, '35.208.254.89:8333': 3000, '82.200.205.30:8333': 3000, '82.64.247.247:8333': 3000, '192.162.100.156:8333': 3000}",
Sample 116 numConnections 6.csv,3000,0,6.0,6,6,3000.0,3000,3000,"{'18.203.28.133:8333': 3000, '157.245.130.232:8333': 3000, '129.13.189.205:8333': 3000, '159.69.167.254:8333': 3000, '35.236.106.168:8333': 3000, '176.36.37.62:8333': 3000}",
Sample 117 numConnections 7.csv,3000,0,7.0,7,7,3000.0,3000,3000,"{'221.240.155.77:8333': 3000, '121.98.205.102:8333': 3000, '5.39.78.212:8333': 3000, '194.118.172.29:8333': 3000, '5.9.79.150:8333': 3000, '18.182.44.36:8333': 3000, '76.181.147.40:8333': 3000}",
Sample 118 numConnections 8.csv,3000,1,8.0,8,8,2666.6666666666665,1249,3000,"{'3.15.34.184:8333': 1249, '52.68.166.44:8333': 3000, '47.244.215.75:8333': 3000, '200.116.57.252:8333': 3000, '13.229.152.67:8333': 3000, '104.198.87.67:8333': 3000, '192.162.100.156:8333': 3000, '82.221.111.136:8333': 3000, '77.34.2.160:8333': 1751}",
Sample 119 numConnections 9.csv,3000,2,9.0,9,9,2454.5454545454545,1,3000,"{'88.198.91.246:8333': 3000, '85.208.70.249:8333': 3000, '107.195.166.98:8333': 3000, '120.78.95.199:8333': 3000, '129.13.189.205:8333': 3000, '213.171.196.79:8333': 3000, '178.238.224.166:8333': 3000, '18.218.72.156:8333': 1342, '45.77.178.69:8333': 1, '116.202.115.101:8333': 2999, '35.208.254.89:8333': 1658}",
Sample 12 numConnections 2.csv,3000,3,2.0,2,2,1200.0,1,3000,"{'47.52.201.10:8333': 3000, '62.205.132.245:8333': 14, '46.28.205.68:8333': 46, '207.148.100.191:8333': 1, '183.230.93.139:8333': 2939}",
Sample 120 numConnections 10.csv,3000,1,10.0,10,10,2727.2727272727275,1220,3000,"{'18.218.72.156:8333': 1220, '35.187.209.186:8333': 3000, '37.187.117.135:8333': 3000, '217.182.172.117:8333': 3000, '95.217.6.169:8333': 3000, '52.198.7.2:8333': 3000, '46.4.69.86:8333': 3000, '88.198.91.246:8333': 3000, '68.183.240.19:8333': 3000, '185.19.29.110:8333': 3000, '76.181.147.40:8333': 1780}",
Sample 121 numConnections 1.csv,3000,0,1.0,1,1,3000.0,3000,3000,"{'88.86.125.50:8333': 3000}",
Sample 122 numConnections 2.csv,3000,2,2.0,2,2,1500.0,1,3000,"{'173.21.218.95:8333': 3000, '47.75.15.2:8333': 1, '46.4.33.195:8333': 1, '81.224.44.164:8333': 2998}",
Sample 123 numConnections 3.csv,3000,1,3.0,3,3,2250.0,1,3000,"{'51.91.66.27:8333': 3000, '35.241.143.66:8333': 3000, '149.248.58.177:8333': 1, '172.81.183.236:8333': 2999}",
Sample 124 numConnections 4.csv,3000,0,4.0,4,4,3000.0,3000,3000,"{'108.162.135.254:8333': 3000, '46.105.117.212:8333': 3000, '121.156.106.151:8333': 3000, '47.244.215.75:8333': 3000}",
Sample 125 numConnections 5.csv,3000,0,5.0,5,5,3000.0,3000,3000,"{'192.162.100.156:8333': 3000, '95.165.104.89:8333': 3000, '211.48.20.244:8333': 3000, '46.128.140.193:8333': 3000, '52.68.166.44:8333': 3000}",
Sample 126 numConnections 6.csv,3000,2,6.0,6,6,2250.0,1292,3000,"{'13.59.142.110:8333': 1292, '180.150.52.37:8333': 3000, '74.98.242.97:8333': 3000, '23.243.53.177:8333': 3000, '51.178.60.241:8333': 1314, '67.80.208.143:8333': 3000, '79.45.178.9:8333': 1708, '18.182.44.36:8333': 1686}",
