Created on 11-28-2019,https://www.CryptoDataDownload.com
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1574899200000,2019-11-28 00:00:00,BTCUSD,7520.11,7537.4,7520.11,7537.4,0.17849253
1574895600000,2019-11-27 23:00:00,BTCUSD,7538.55,7556.7,7504.49,7520.11,27.7244771478
1574892000000,2019-11-27 22:00:00,BTCUSD,7549.15,7597.01,7518.51,7538.55,30.2834498794
1574888400000,2019-11-27 21:00:00,BTCUSD,7567.24,7579.78,7485.97,7549.15,80.8234767801
1574884800000,2019-11-27 20:00:00,BTCUSD,7573.12,7669.56,7550.0,7567.24,64.3345150053
1574881200000,2019-11-27 19:00:00,BTCUSD,7502.39,7588.42,7502.39,7573.12,52.244745714
1574877600000,2019-11-27 18:00:00,BTCUSD,7571.27,7667.3,7502.39,7502.39,146.6164808156
1574874000000,2019-11-27 17:00:00,BTCUSD,7470.01,7623.43,7470.01,7571.27,331.916833792
1574870400000,2019-11-27 16:00:00,BTCUSD,7321.93,7533.72,7228.75,7470.01,291.3580600881
1574866800000,2019-11-27 15:00:00,BTCUSD,7229.75,7345.86,7218.8,7321.93,115.8241937134
1574863200000,2019-11-27 14:00:00,BTCUSD,7260.54,7279.73,7193.75,7229.75,68.72881226
1574859600000,2019-11-27 13:00:00,BTCUSD,7236.01,7279.66,7234.44,7260.54,27.2703695504
1574856000000,2019-11-27 12:00:00,BTCUSD,7141.86,7356.91,7135.01,7236.01,232.3421151292
1574852400000,2019-11-27 11:00:00,BTCUSD,6909.36,7159.46,6909.36,7141.86,122.045212307
1574848800000,2019-11-27 10:00:00,BTCUSD,6898.99,6938.64,6849.95,6909.36,26.5687680277
1574845200000,2019-11-27 09:00:00,BTCUSD,7040.0,7040.0,6868.88,6898.99,134.213419434
1574841600000,2019-11-27 08:00:00,BTCUSD,7070.87,7092.77,7040.0,7040.0,17.2261429809
1574838000000,2019-11-27 07:00:00,BTCUSD,7091.36,7113.98,7066.33,7070.87,5.5536999421
1574834400000,2019-11-27 06:00:00,BTCUSD,7076.59,7106.68,7057.8,7091.36,9.8668033351
1574830800000,2019-11-27 05:00:00,BTCUSD,7075.76,7087.08,7054.5,7076.59,8.1869879275
1574827200000,2019-11-27 04:00:00,BTCUSD,7073.3,7097.64,7050.0,7075.76,23.8716641837
1574823600000,2019-11-27 03:00:00,BTCUSD,7146.79,7156.29,7050.0,7073.3,22.3218530319
1574820000000,2019-11-27 02:00:00,BTCUSD,7156.25,7172.17,7141.08,7146.79,22.9391040581
1574816400000,2019-11-27 01:00:00,BTCUSD,7164.99,7183.0,7134.8,7156.25,28.6824913104
1574812800000,2019-11-27 00:00:00,BTCUSD,7162.9,7177.29,7135.47,7164.99,28.5407285269
1574809200000,2019-11-26 23:00:00,BTCUSD,7145.75,7184.95,7131.8,7162.9,36.7135142669
1574805600000,2019-11-26 22:00:00,BTCUSD,7105.66,7152.62,7076.19,7145.75,34.6100824512
