Benchmark                          ,    Min(us)    ,    Avg(us)    ,    Max(us)    
batchverify_tweak_checks_369       ,     8.28      ,     8.28      ,     8.28   
batchverify_tweak_checks_443       ,     8.28      ,     8.28      ,     8.28   
batchverify_tweak_checks_532       ,     8.28      ,     8.29      ,     8.30   
batchverify_tweak_checks_639       ,     8.28      ,     8.29      ,     8.30   
batchverify_tweak_checks_767       ,     8.28      ,     8.28      ,     8.29   
batchverify_tweak_checks_921       ,     8.27      ,     8.27      ,     8.28   
batchverify_tweak_checks_1106      ,     8.27      ,     8.28      ,     8.28   
batchverify_tweak_checks_1328      ,     8.26      ,     8.27      ,     8.28   
batchverify_tweak_checks_1594      ,     8.25      ,     8.26      ,     8.28   
batchverify_tweak_checks_1913      ,     8.25      ,     8.25      ,     8.25   
batchverify_tweak_checks_2296      ,     8.25      ,     8.25      ,     8.25   
batchverify_tweak_checks_2756      ,     8.24      ,     8.24      ,     8.24   
batchverify_tweak_checks_3308      ,     8.25      ,     8.25      ,     8.25   
batchverify_tweak_checks_3970      ,     8.24      ,     8.25      ,     8.25   
batchverify_tweak_checks_4765      ,     8.24      ,     8.38      ,     8.59   
batchverify_tweak_checks_5719      ,     8.24      ,     8.25      ,     8.25   
batchverify_tweak_checks_6863      ,     8.24      ,     8.24      ,     8.25   
batchverify_tweak_checks_8236      ,     8.25      ,     8.26      ,     8.28   
batchverify_tweak_checks_9884      ,     8.24      ,     8.24      ,     8.24   
batchverify_tweak_checks_11861     ,     8.24      ,     8.24      ,     8.24   
batchverify_tweak_checks_14234     ,     8.25      ,     8.25      ,     8.25   
batchverify_tweak_checks_17081     ,     8.24      ,     8.24      ,     8.24   
batchverify_tweak_checks_20498     ,     8.24      ,     8.24      ,     8.24   
batchverify_tweak_checks_24598     ,     8.24      ,     8.25      ,     8.28   
batchverify_tweak_checks_29518     ,     8.24      ,     8.24      ,     8.24   
batchverify_tweak_checks_35422     ,     8.24      ,     8.24      ,     8.24   
batchverify_tweak_checks_42507     ,     8.24      ,     8.24      ,     8.24   
batchverify_tweak_checks_51009     ,     8.23      ,     8.24      ,     8.24   
batchverify_tweak_checks_61211     ,     8.24      ,     8.24      ,     8.24   
batchverify_tweak_checks_73454     ,     8.24      ,     8.26      ,     8.28   
batchverify_tweak_checks_88145     ,     8.25      ,     8.26      ,     8.29   
